Date,Close,
19/04/2012,0.272331,0.000%
20/04/2012,0.272331,0.000%
23/04/2012,0.272331,0.000%
24/04/2012,0.272331,0.000%
25/04/2012,0.272331,0.000%
26/04/2012,0.272331,0.000%
27/04/2012,0.272272,-0.022%
30/04/2012,0.272324,0.019%
01/05/2012,0.272264,-0.022%
02/05/2012,0.272331,0.025%
03/05/2012,0.272331,0.000%
04/05/2012,0.272331,0.000%
07/05/2012,0.272331,0.000%
08/05/2012,0.272331,0.000%
09/05/2012,0.272331,0.000%
10/05/2012,0.272331,0.000%
11/05/2012,0.272324,-0.003%
14/05/2012,0.272331,0.003%
15/05/2012,0.272331,0.000%
16/05/2012,0.272331,0.000%
17/05/2012,0.272331,0.000%
18/05/2012,0.272331,0.000%
21/05/2012,0.272324,-0.003%
22/05/2012,0.272324,0.000%
23/05/2012,0.272324,0.000%
24/05/2012,0.272264,-0.022%
25/05/2012,0.272331,0.025%
28/05/2012,0.272331,0.000%
29/05/2012,0.272331,0.000%
30/05/2012,0.272331,0.000%
31/05/2012,0.272331,0.000%
01/06/2012,0.272331,0.000%
04/06/2012,0.272339,0.003%
05/06/2012,0.272331,-0.003%
06/06/2012,0.272331,0.000%
07/06/2012,0.272331,0.000%
08/06/2012,0.272324,-0.003%
11/06/2012,0.272331,0.003%
12/06/2012,0.272331,0.000%
13/06/2012,0.272331,0.000%
14/06/2012,0.272331,0.000%
15/06/2012,0.272331,0.000%
18/06/2012,0.272331,0.000%
19/06/2012,0.272324,-0.003%
20/06/2012,0.272324,0.000%
21/06/2012,0.272324,0.000%
22/06/2012,0.272331,0.003%
25/06/2012,0.272331,0.000%
26/06/2012,0.272331,0.000%
27/06/2012,0.272331,0.000%
28/06/2012,0.272324,-0.003%
29/06/2012,0.272324,0.000%
02/07/2012,0.272331,0.003%
03/07/2012,0.272324,-0.003%
04/07/2012,0.272331,0.003%
05/07/2012,0.272331,0.000%
06/07/2012,0.272331,0.000%
09/07/2012,0.272331,0.000%
10/07/2012,0.272324,-0.003%
11/07/2012,0.272331,0.003%
12/07/2012,0.272331,0.000%
13/07/2012,0.272331,0.000%
16/07/2012,0.272331,0.000%
17/07/2012,0.272331,0.000%
18/07/2012,0.272331,0.000%
19/07/2012,0.272331,0.000%
20/07/2012,0.272331,0.000%
23/07/2012,0.272331,0.000%
24/07/2012,0.272324,-0.003%
25/07/2012,0.272331,0.003%
26/07/2012,0.272324,-0.003%
27/07/2012,0.272331,0.003%
30/07/2012,0.272331,0.000%
31/07/2012,0.272331,0.000%
01/08/2012,0.272331,0.000%
02/08/2012,0.272324,-0.003%
03/08/2012,0.272324,0.000%
06/08/2012,0.272331,0.003%
07/08/2012,0.272331,0.000%
08/08/2012,0.272324,-0.003%
09/08/2012,0.272331,0.003%
10/08/2012,0.272331,0.000%
13/08/2012,0.272331,0.000%
14/08/2012,0.272331,0.000%
15/08/2012,0.272324,-0.003%
16/08/2012,0.272331,0.003%
17/08/2012,0.272331,0.000%
20/08/2012,0.272331,0.000%
21/08/2012,0.272331,0.000%
22/08/2012,0.272331,0.000%
23/08/2012,0.272331,0.000%
24/08/2012,0.272324,-0.003%
27/08/2012,0.272331,0.003%
28/08/2012,0.272331,0.000%
29/08/2012,0.272324,-0.003%
30/08/2012,0.272331,0.003%
31/08/2012,0.272331,0.000%
03/09/2012,0.272331,0.000%
04/09/2012,0.272331,0.000%
05/09/2012,0.272331,0.000%
06/09/2012,0.272324,-0.003%
07/09/2012,0.272324,0.000%
10/09/2012,0.272324,0.000%
11/09/2012,0.272331,0.003%
12/09/2012,0.272331,0.000%
13/09/2012,0.272331,0.000%
14/09/2012,0.272331,0.000%
17/09/2012,0.272331,0.000%
18/09/2012,0.272324,-0.003%
19/09/2012,0.272331,0.003%
20/09/2012,0.272331,0.000%
21/09/2012,0.272331,0.000%
24/09/2012,0.272331,0.000%
25/09/2012,0.272331,0.000%
26/09/2012,0.272331,0.000%
27/09/2012,0.272331,0.000%
28/09/2012,0.272331,0.000%
01/10/2012,0.272331,0.000%
02/10/2012,0.272331,0.000%
03/10/2012,0.272331,0.000%
04/10/2012,0.272331,0.000%
05/10/2012,0.272331,0.000%
08/10/2012,0.272331,0.000%
09/10/2012,0.272331,0.000%
10/10/2012,0.272331,0.000%
11/10/2012,0.272331,0.000%
12/10/2012,0.272264,-0.025%
15/10/2012,0.272331,0.025%
16/10/2012,0.272339,0.003%
17/10/2012,0.272331,-0.003%
18/10/2012,0.272331,0.000%
19/10/2012,0.272324,-0.003%
22/10/2012,0.272331,0.003%
23/10/2012,0.272331,0.000%
24/10/2012,0.272331,0.000%
25/10/2012,0.272331,0.000%
26/10/2012,0.272331,0.000%
29/10/2012,0.272339,0.003%
30/10/2012,0.272331,-0.003%
31/10/2012,0.272331,0.000%
01/11/2012,0.272331,0.000%
02/11/2012,0.272324,-0.003%
05/11/2012,0.272331,0.003%
06/11/2012,0.272331,0.000%
07/11/2012,0.272331,0.000%
08/11/2012,0.272331,0.000%
09/11/2012,0.272331,0.000%
12/11/2012,0.272331,0.000%
13/11/2012,0.272331,0.000%
14/11/2012,0.272324,-0.003%
15/11/2012,0.272331,0.003%
16/11/2012,0.272272,-0.022%
19/11/2012,0.272331,0.022%
20/11/2012,0.272331,0.000%
21/11/2012,0.272331,0.000%
22/11/2012,0.272331,0.000%
23/11/2012,0.272324,-0.003%
26/11/2012,0.272331,0.003%
27/11/2012,0.272331,0.000%
28/11/2012,0.272331,0.000%
29/11/2012,0.272331,0.000%
30/11/2012,0.272331,0.000%
03/12/2012,0.272331,0.000%
04/12/2012,0.272331,0.000%
05/12/2012,0.272331,0.000%
06/12/2012,0.272331,0.000%
07/12/2012,0.272331,0.000%
10/12/2012,0.272331,0.000%
11/12/2012,0.272324,-0.003%
12/12/2012,0.272331,0.003%
13/12/2012,0.272324,-0.003%
14/12/2012,0.272331,0.003%
17/12/2012,0.272324,-0.003%
18/12/2012,0.272331,0.003%
19/12/2012,0.272324,-0.003%
20/12/2012,0.272324,0.000%
21/12/2012,0.272324,0.000%
24/12/2012,0.272339,0.006%
25/12/2012,0.272339,0.000%
26/12/2012,0.272324,-0.006%
27/12/2012,0.272324,0.000%
28/12/2012,0.272272,-0.019%
31/12/2012,0.272324,0.019%
01/01/2013,0.272324,0.000%
02/01/2013,0.272331,0.003%
03/01/2013,0.272331,0.000%
04/01/2013,0.272331,0.000%
07/01/2013,0.272324,-0.003%
08/01/2013,0.272324,0.000%
09/01/2013,0.272324,0.000%
10/01/2013,0.272324,0.000%
11/01/2013,0.272331,0.003%
14/01/2013,0.272324,-0.003%
15/01/2013,0.272324,0.000%
16/01/2013,0.272324,0.000%
17/01/2013,0.272331,0.003%
18/01/2013,0.272331,0.000%
21/01/2013,0.272324,-0.003%
22/01/2013,0.272331,0.003%
23/01/2013,0.272331,0.000%
24/01/2013,0.272331,0.000%
25/01/2013,0.272331,0.000%
28/01/2013,0.272331,0.000%
29/01/2013,0.272331,0.000%
30/01/2013,0.272324,-0.003%
31/01/2013,0.272331,0.003%
01/02/2013,0.272331,0.000%
04/02/2013,0.272331,0.000%
05/02/2013,0.272331,0.000%
06/02/2013,0.272331,0.000%
07/02/2013,0.272331,0.000%
08/02/2013,0.272331,0.000%
11/02/2013,0.272331,0.000%
12/02/2013,0.272331,0.000%
13/02/2013,0.272331,0.000%
14/02/2013,0.272331,0.000%
15/02/2013,0.272324,-0.003%
18/02/2013,0.272331,0.003%
19/02/2013,0.272331,0.000%
20/02/2013,0.272324,-0.003%
21/02/2013,0.272331,0.003%
22/02/2013,0.272331,0.000%
25/02/2013,0.272324,-0.003%
26/02/2013,0.272331,0.003%
27/02/2013,0.272331,0.000%
28/02/2013,0.272331,0.000%
01/03/2013,0.272331,0.000%
04/03/2013,0.272324,-0.003%
05/03/2013,0.272331,0.003%
06/03/2013,0.272331,0.000%
07/03/2013,0.272331,0.000%
08/03/2013,0.272331,0.000%
11/03/2013,0.272331,0.000%
12/03/2013,0.272331,0.000%
13/03/2013,0.272331,0.000%
14/03/2013,0.272331,0.000%
15/03/2013,0.272331,0.000%
18/03/2013,0.272331,0.000%
19/03/2013,0.272331,0.000%
20/03/2013,0.272331,0.000%
21/03/2013,0.272331,0.000%
22/03/2013,0.272324,-0.003%
25/03/2013,0.272331,0.003%
26/03/2013,0.272331,0.000%
27/03/2013,0.272331,0.000%
28/03/2013,0.272331,0.000%
29/03/2013,0.272331,0.000%
01/04/2013,0.272264,-0.025%
02/04/2013,0.272331,0.025%
03/04/2013,0.272331,0.000%
04/04/2013,0.272331,0.000%
05/04/2013,0.272331,0.000%
08/04/2013,0.272331,0.000%
09/04/2013,0.272346,0.006%
10/04/2013,0.272346,0.000%
11/04/2013,0.272346,0.000%
12/04/2013,0.272346,0.000%
15/04/2013,0.272346,0.000%
16/04/2013,0.272346,0.000%
17/04/2013,0.272346,0.000%
18/04/2013,0.272346,0.000%
19/04/2013,0.272346,0.000%
22/04/2013,0.272331,-0.006%
23/04/2013,0.272331,0.000%
24/04/2013,0.272324,-0.003%
25/04/2013,0.272324,0.000%
26/04/2013,0.272324,0.000%
29/04/2013,0.272331,0.003%
30/04/2013,0.272331,0.000%
01/05/2013,0.272331,0.000%
02/05/2013,0.272331,0.000%
03/05/2013,0.272331,0.000%
06/05/2013,0.272331,0.000%
07/05/2013,0.272331,0.000%
08/05/2013,0.272331,0.000%
09/05/2013,0.272331,0.000%
10/05/2013,0.272316,-0.006%
13/05/2013,0.272331,0.006%
14/05/2013,0.272331,0.000%
15/05/2013,0.272331,0.000%
16/05/2013,0.272331,0.000%
17/05/2013,0.272331,0.000%
20/05/2013,0.272331,0.000%
21/05/2013,0.272331,0.000%
22/05/2013,0.272331,0.000%
23/05/2013,0.272331,0.000%
24/05/2013,0.272331,0.000%
27/05/2013,0.272331,0.000%
28/05/2013,0.272331,0.000%
29/05/2013,0.272324,-0.003%
30/05/2013,0.272331,0.003%
31/05/2013,0.272331,0.000%
03/06/2013,0.272331,0.000%
04/06/2013,0.272331,0.000%
05/06/2013,0.272331,0.000%
06/06/2013,0.272339,0.003%
07/06/2013,0.272339,0.000%
10/06/2013,0.272331,-0.003%
11/06/2013,0.272331,0.000%
12/06/2013,0.272331,0.000%
13/06/2013,0.272331,0.000%
14/06/2013,0.272339,0.003%
17/06/2013,0.272339,0.000%
18/06/2013,0.272324,-0.006%
19/06/2013,0.272339,0.006%
20/06/2013,0.272331,-0.003%
21/06/2013,0.272272,-0.022%
24/06/2013,0.272324,0.019%
25/06/2013,0.272339,0.006%
26/06/2013,0.272331,-0.003%
27/06/2013,0.272339,0.003%
28/06/2013,0.272331,-0.003%
01/07/2013,0.272331,0.000%
02/07/2013,0.272331,0.000%
03/07/2013,0.272331,0.000%
04/07/2013,0.272331,0.000%
05/07/2013,0.272331,0.000%
08/07/2013,0.272331,0.000%
09/07/2013,0.272331,0.000%
10/07/2013,0.272331,0.000%
11/07/2013,0.272324,-0.003%
12/07/2013,0.272324,0.000%
15/07/2013,0.272324,0.000%
16/07/2013,0.272324,0.000%
17/07/2013,0.272324,0.000%
18/07/2013,0.272331,0.003%
19/07/2013,0.272264,-0.025%
22/07/2013,0.272324,0.022%
23/07/2013,0.272324,0.000%
24/07/2013,0.272331,0.003%
25/07/2013,0.272324,-0.003%
26/07/2013,0.272331,0.003%
29/07/2013,0.272324,-0.003%
30/07/2013,0.272331,0.003%
31/07/2013,0.272331,0.000%
01/08/2013,0.272331,0.000%
02/08/2013,0.272264,-0.025%
05/08/2013,0.272331,0.025%
06/08/2013,0.272324,-0.003%
07/08/2013,0.272331,0.003%
08/08/2013,0.272331,0.000%
09/08/2013,0.272331,0.000%
12/08/2013,0.272331,0.000%
13/08/2013,0.272331,0.000%
14/08/2013,0.272331,0.000%
15/08/2013,0.272331,0.000%
16/08/2013,0.272331,0.000%
19/08/2013,0.272331,0.000%
20/08/2013,0.272331,0.000%
21/08/2013,0.272331,0.000%
22/08/2013,0.272324,-0.003%
23/08/2013,0.272331,0.003%
26/08/2013,0.272331,0.000%
27/08/2013,0.272324,-0.003%
28/08/2013,0.272324,0.000%
29/08/2013,0.272331,0.003%
30/08/2013,0.272331,0.000%
02/09/2013,0.272324,-0.003%
03/09/2013,0.272324,0.000%
04/09/2013,0.272324,0.000%
05/09/2013,0.272324,0.000%
06/09/2013,0.272331,0.003%
09/09/2013,0.272331,0.000%
10/09/2013,0.272331,0.000%
11/09/2013,0.272324,-0.003%
12/09/2013,0.272331,0.003%
13/09/2013,0.272324,-0.003%
16/09/2013,0.272331,0.003%
17/09/2013,0.272331,0.000%
18/09/2013,0.272331,0.000%
19/09/2013,0.272331,0.000%
20/09/2013,0.272331,0.000%
23/09/2013,0.272331,0.000%
24/09/2013,0.272331,0.000%
25/09/2013,0.272272,-0.022%
26/09/2013,0.272331,0.022%
27/09/2013,0.272331,0.000%
30/09/2013,0.272331,0.000%
01/10/2013,0.272331,0.000%
02/10/2013,0.272331,0.000%
03/10/2013,0.272324,-0.003%
04/10/2013,0.272264,-0.022%
07/10/2013,0.272331,0.025%
08/10/2013,0.272331,0.000%
09/10/2013,0.272264,-0.025%
10/10/2013,0.272264,0.000%
11/10/2013,0.272331,0.025%
14/10/2013,0.272331,0.000%
15/10/2013,0.272264,-0.025%
16/10/2013,0.272331,0.025%
17/10/2013,0.272272,-0.022%
18/10/2013,0.272331,0.022%
21/10/2013,0.272331,0.000%
22/10/2013,0.272331,0.000%
23/10/2013,0.272331,0.000%
24/10/2013,0.272264,-0.025%
25/10/2013,0.272331,0.025%
28/10/2013,0.272331,0.000%
29/10/2013,0.272331,0.000%
30/10/2013,0.272331,0.000%
31/10/2013,0.272331,0.000%
01/11/2013,0.272331,0.000%
04/11/2013,0.272331,0.000%
05/11/2013,0.272331,0.000%
06/11/2013,0.272331,0.000%
07/11/2013,0.272272,-0.022%
08/11/2013,0.272331,0.022%
11/11/2013,0.272331,0.000%
12/11/2013,0.272331,0.000%
13/11/2013,0.272331,0.000%
14/11/2013,0.272331,0.000%
15/11/2013,0.272331,0.000%
18/11/2013,0.272331,0.000%
19/11/2013,0.272331,0.000%
20/11/2013,0.272331,0.000%
21/11/2013,0.272264,-0.025%
22/11/2013,0.272331,0.025%
25/11/2013,0.272331,0.000%
26/11/2013,0.272331,0.000%
27/11/2013,0.272324,-0.003%
28/11/2013,0.272331,0.003%
29/11/2013,0.272331,0.000%
02/12/2013,0.272331,0.000%
03/12/2013,0.272331,0.000%
04/12/2013,0.272331,0.000%
05/12/2013,0.272331,0.000%
06/12/2013,0.272331,0.000%
09/12/2013,0.272331,0.000%
10/12/2013,0.272331,0.000%
11/12/2013,0.272331,0.000%
12/12/2013,0.272331,0.000%
13/12/2013,0.272331,0.000%
16/12/2013,0.272272,-0.022%
17/12/2013,0.272331,0.022%
